"ano";"cisp";"cel_c_s";"veic_c_s"
2015;1;102;12
2015;10;145;86
2015;11;4;0
2015;12;48;3
2015;13;27;7
2015;14;120;16
2015;15;40;33
2015;16;165;144
2015;17;166;223
2015;18;210;192
2015;19;137;104
2015;20;100;174
2015;21;189;304
2015;22;166;441
2015;23;369;257
2015;24;214;331
2015;25;150;277
2015;26;144;330
2015;27;277;1226
2015;28;261;762
2015;29;271;766
2015;30;146;634
2015;31;327;1039
2015;32;126;240
2015;33;378;866
2015;34;609;1119
2015;35;273;956
2015;36;99;255
2015;37;64;111
2015;38;203;712
2015;39;257;1128
2015;4;201;77
2015;40;201;1175
2015;41;84;129
2015;42;102;331
2015;43;30;135
2015;44;142;599
2015;5;201;29
2015;6;117;85
2015;7;32;48
2015;9;181;119
