"ano";"cisp";"cel_c_s";"tran_c_s";"veic_c_s";"col_c_s"
2003;"1";330;374;59;56
2003;"10";297;256;174;66
2003;"12";146;192;31;28
2003;"13";131;130;33;37
2003;"14";258;273;150;29
2003;"15";76;79;81;42
2003;"16";200;238;485;101
2003;"17";225;297;432;112
2003;"18";340;330;407;51
2003;"19";299;338;421;27
2003;"20";294;296;628;41
2003;"21";319;515;1621;314
2003;"22";304;346;1507;146
2003;"23";603;545;1356;53
2003;"24";251;278;983;47
2003;"25";201;256;914;43
2003;"26";0;0;0;0
2003;"27";269;339;1480;62
2003;"28";191;249;730;98
2003;"29";431;504;703;230
2003;"30";266;349;1028;114
2003;"31";10;18;41;3
2003;"32";237;218;407;112
2003;"33";166;335;678;94
2003;"34";330;516;1158;150
2003;"35";298;544;969;254
2003;"36";101;195;338;163
2003;"37";268;338;1185;133
2003;"38";195;267;1306;112
2003;"39";379;498;1277;192
2003;"4";283;338;110;96
2003;"40";153;238;699;134
2003;"41";168;186;506;47
2003;"43";0;0;0;0
2003;"44";196;228;1049;52
2003;"5";369;436;72;40
2003;"6";280;225;356;107
2003;"7";23;33;215;2
2003;"9";276;267;312;86
2004;"1";245;386;47;31
2004;"10";236;343;141;63
2004;"12";100;202;19;31
2004;"13";82;152;35;31
2004;"14";164;329;93;30
2004;"15";64;89;67;36
2004;"16";201;284;383;92
2004;"17";248;398;690;142
2004;"18";333;473;530;57
2004;"19";273;398;533;60
2004;"20";279;429;604;54
2004;"21";261;533;1520;311
2004;"22";248;502;1424;120
2004;"23";444;875;880;79
2004;"24";203;477;919;59
2004;"25";164;317;774;78
2004;"26";0;0;0;0
2004;"27";285;406;1434;86
2004;"28";203;405;758;101
2004;"29";409;649;719;349
2004;"30";249;506;954;140
2004;"31";9;10;38;1
2004;"32";159;254;401;83
2004;"33";174;326;862;111
2004;"34";229;577;957;126
2004;"35";264;692;841;240
2004;"36";117;266;363;113
2004;"37";172;415;849;124
2004;"38";170;310;1371;92
2004;"39";356;583;1920;206
2004;"4";405;525;147;93
2004;"40";137;264;802;133
2004;"41";172;314;683;65
2004;"43";3;8;33;6
2004;"44";153;306;983;71
2004;"5";258;542;111;49
2004;"6";203;391;336;118
2004;"7";28;104;219;12
2004;"9";227;350;276;89
2005;"1";166;503;29;66
2005;"10";47;544;111;103
2005;"12";131;355;25;61
2005;"13";81;294;19;56
2005;"14";88;457;51;42
2005;"15";49;204;73;90
2005;"16";160;551;357;172
2005;"17";110;529;469;119
2005;"18";167;827;398;95
2005;"19";123;590;626;54
2005;"20";130;717;604;61
2005;"21";173;972;1796;441
2005;"22";156;928;1191;214
2005;"23";437;1424;1043;119
2005;"24";151;848;1164;104
2005;"25";99;565;690;95
2005;"26";11;50;62;5
2005;"27";199;982;1661;184
2005;"28";127;669;904;182
2005;"29";143;1114;693;386
2005;"30";118;715;773;163
2005;"31";21;154;300;17
2005;"32";136;489;414;135
2005;"33";120;588;905;133
2005;"34";119;1070;1363;187
2005;"35";134;1142;972;385
2005;"36";44;389;233;167
2005;"37";121;582;644;101
2005;"38";132;634;1554;169
2005;"39";104;781;1567;257
2005;"4";184;807;143;183
2005;"40";145;494;795;152
2005;"41";93;584;499;54
2005;"43";14;62;62;14
2005;"44";114;597;1296;119
2005;"5";155;961;67;72
2005;"6";83;588;343;123
2005;"7";11;87;153;14
2005;"9";145;546;229;130
2006;"1";201;640;47;92
2006;"10";106;747;94;223
2006;"12";118;510;22;64
2006;"13";85;359;21;64
2006;"14";125;640;47;80
2006;"15";44;171;53;135
2006;"16";241;936;496;183
2006;"17";151;754;516;172
2006;"18";185;850;574;74
2006;"19";122;912;724;85
2006;"20";133;939;809;38
2006;"21";184;1144;1668;546
2006;"22";211;1260;1220;239
2006;"23";385;1287;641;141
2006;"24";150;747;680;76
2006;"25";101;572;523;106
2006;"26";110;795;823;49
2006;"27";151;1285;1580;168
2006;"28";151;812;939;146
2006;"29";169;1101;668;314
2006;"30";121;760;654;133
2006;"31";35;362;496;52
2006;"32";176;577;438;231
2006;"33";151;758;962;163
2006;"34";216;1366;1785;288
2006;"35";228;1368;1010;452
2006;"36";70;505;223;211
2006;"37";137;629;818;128
2006;"38";87;754;1331;204
2006;"39";146;939;1257;261
2006;"4";103;764;136;171
2006;"40";116;653;791;151
2006;"41";157;651;616;99
2006;"43";9;69;74;32
2006;"44";96;832;969;156
2006;"5";206;1194;65;92
2006;"6";53;609;276;105
2006;"7";7;143;112;11
2006;"9";189;800;255;217
2007;"1";315;1004;62;89
2007;"10";118;733;165;130
2007;"12";93;527;34;77
2007;"13";41;451;36;72
2007;"14";81;704;84;91
2007;"15";46;228;52;115
2007;"16";141;969;626;173
2007;"17";147;908;327;234
2007;"18";194;966;356;109
2007;"19";148;1138;652;73
2007;"20";115;1340;998;95
2007;"21";154;1718;1311;621
2007;"22";193;1667;828;282
2007;"23";320;1510;592;106
2007;"24";99;745;462;94
2007;"25";72;869;595;144
2007;"26";61;797;525;49
2007;"27";142;1657;1603;186
2007;"28";107;800;413;140
2007;"29";107;1307;626;346
2007;"30";165;830;392;97
2007;"31";33;497;511;43
2007;"32";202;796;457;303
2007;"33";144;1146;996;157
2007;"34";144;2218;1568;261
2007;"35";226;1567;792;338
2007;"36";52;582;220;163
2007;"37";89;668;410;133
2007;"38";143;1169;1268;173
2007;"39";100;1273;1171;271
2007;"4";121;974;106;178
2007;"40";129;1016;809;167
2007;"41";142;791;609;86
2007;"43";11;80;54;44
2007;"44";112;934;1125;215
2007;"5";241;1724;73;84
2007;"6";65;600;144;97
2007;"7";6;186;100;24
2007;"9";136;850;262;101
2008;"1";326;1097;37;98
2008;"10";132;958;235;105
2008;"12";74;659;29;75
2008;"13";52;571;31;53
2008;"14";103;787;127;75
2008;"15";31;257;93;96
2008;"16";164;1051;532;210
2008;"17";74;1047;338;224
2008;"18";158;1091;388;104
2008;"19";170;1068;460;89
2008;"20";85;1274;661;92
2008;"21";140;1839;1222;531
2008;"22";208;1725;724;207
2008;"23";319;2012;618;97
2008;"24";111;811;283;66
2008;"25";63;1083;594;129
2008;"26";59;979;434;45
2008;"27";166;1839;1147;224
2008;"28";116;891;326;119
2008;"29";191;1556;517;364
2008;"30";157;904;380;108
2008;"31";30;402;301;51
2008;"32";199;1055;414;278
2008;"33";166;1407;685;224
2008;"34";229;2371;1034;237
2008;"35";328;1841;657;333
2008;"36";59;627;219;226
2008;"37";130;681;415;157
2008;"38";212;1141;856;163
2008;"39";139;1375;947;307
2008;"4";170;955;107;184
2008;"40";92;1140;578;255
2008;"41";141;933;544;103
2008;"43";24;77;38;42
2008;"44";138;826;937;196
2008;"5";237;1728;66;69
2008;"6";66;759;229;124
2008;"7";8;213;99;16
2008;"9";214;954;313;74
2009;"1";192;1495;34;101
2009;"10";138;985;222;101
2009;"12";61;663;31;64
2009;"13";45;503;24;43
2009;"14";111;723;107;68
2009;"15";32;238;89;95
2009;"16";99;1107;544;209
2009;"17";87;994;361;189
2009;"18";183;1125;377;90
2009;"19";126;905;387;79
2009;"20";132;1048;531;51
2009;"21";128;1702;901;504
2009;"22";193;1473;569;189
2009;"23";420;1481;461;86
2009;"24";118;922;250;61
2009;"25";69;801;516;105
2009;"26";117;740;305;33
